Old image path,New image path
0000299/005.jpg,0004760/005---moved01.jpg
0000461/007.jpg,0031162/007---moved02.jpg
0160840/018.jpg,2091462/018---moved03.jpg
0376540/043.jpg,0273371/043---moved04.jpg
0378200/013.jpg,0000598/013---moved05.jpg
0596404/008.jpg,0221043/008---moved06.jpg
0934618/024.jpg,0822982/024---moved07.jpg
1036527/018.jpg,2546012/018---moved08.jpg
1036527/029.jpg,2546012/029---moved09.jpg
1159180/043.jpg,0058581/043---moved10.jpg
1404824/008.jpg,1404825/008---moved11.jpg
1701136/006.jpg,2444298/006---moved12.jpg
2003700/255.jpg,3117836/255---moved13.jpg
2541974/003.jpg,1886602/003---moved14.jpg
2845631/004.jpg,2902567/004---moved15.jpg
3030892/005.jpg,3535459/005---moved16.jpg
3535459/006.jpg,3653572/006---moved17.jpg
3535459/009.jpg,3653572/009---moved18.jpg
3535459/037.jpg,3653572/037---moved19.jpg
4111426/008.jpg,0005392/008---moved20.jpg
5553911/005.jpg,5554445/005---moved21.jpg
5553911/006.jpg,5554445/006---moved22.jpg
5553911/011.jpg,5554445/011---moved23.jpg
5553911/014.jpg,5554445/014---moved24.jpg
5553911/015.jpg,5554445/015---moved25.jpg
5553911/018.jpg,5554445/018---moved26.jpg
5553911/020.jpg,5554445/020---moved27.jpg
5553911/027.jpg,5554445/027---moved28.jpg
5553911/029.jpg,5554445/029---moved29.jpg
5553911/030.jpg,5554445/030---moved30.jpg
5553911/032.jpg,5554445/032---moved31.jpg
5553911/034.jpg,5554445/034---moved32.jpg
5553911/035.jpg,5554445/035---moved33.jpg
5553911/037.jpg,5554445/037---moved34.jpg
5553911/038.jpg,5554445/038---moved35.jpg
5553911/042.jpg,5554445/042---moved36.jpg
5553911/044.jpg,5554445/044---moved37.jpg
